,Unnamed: 0,sex,row_number,liters_drunk,drink,check_number,label,age_young,age_medium,age_old,morning1,afternoon1,evening1
0,0,0,79.0,2.0,0,3116,0,,,old,1,0,0
1,1,1,23.0,0.0,0,8118,0,young,,,0,1,0
2,2,1,92.0,0.0,0,2264,1,young,,,0,1,0
3,3,0,52.0,5.0,1,7640,1,,,old,0,1,0
4,4,0,57.0,2.0,1,8764,0,,medium,,1,0,0
5,5,1,15.0,1.0,1,6235,0,,medium,,0,0,1
6,6,0,49.0,0.0,0,185,1,young,,,0,0,1
7,7,1,33.0,5.0,0,2970,1,,,old,0,0,1
8,8,0,5.0,0.0,0,6494,0,,medium,,1,0,0
9,9,1,48.0,1.0,0,9971,1,,,old,1,0,0
10,10,0,78.0,2.48,0,3592,0,,,old,0,0,1
11,11,1,32.0,2.0,1,2021,0,,medium,,0,1,0
12,12,0,12.0,3.0,0,5675,1,,,old,0,0,1
13,13,0,16.0,5.0,1,1637,0,,,old,1,0,0
14,14,0,46.0,2.48,1,7830,1,,medium,,1,0,0
15,15,0,4.0,3.0,0,2174,1,young,,,0,0,1
19,19,1,100.0,2.48,0,2468,0,young,,,0,0,1
20,20,0,40.0,3.0,0,8793,0,,,old,1,0,0
22,22,1,9.0,4.0,1,6079,1,,medium,,1,0,0
23,23,1,8.0,4.0,0,839,1,,,old,0,0,1
24,24,0,95.0,1.0,1,1634,1,,,old,1,0,0
26,26,1,70.0,2.48,0,7091,0,,medium,,0,1,0
28,28,1,52.0,3.0,0,6992,1,,medium,,0,0,1
32,32,0,44.0,4.0,1,3258,1,,medium,,0,0,1
33,33,0,6.0,5.0,0,6664,0,,,old,1,0,0
36,36,0,86.0,0.0,0,2104,1,,,old,0,1,0
37,37,1,40.0,4.0,0,1784,1,,medium,,0,0,1
38,38,0,57.0,3.0,0,2744,0,,medium,,0,0,1
39,39,0,82.0,5.0,0,4306,1,young,,,0,0,1
40,40,1,4.0,2.0,0,814,0,young,,,0,1,0
41,41,1,67.0,0.0,0,2285,0,,medium,,1,0,0
42,42,1,52.0,3.0,1,3395,0,,medium,,0,0,1
43,43,0,33.0,2.0,0,8192,1,,,old,1,0,0
44,44,0,48.0,2.0,0,4185,0,,,old,0,1,0
46,46,1,29.0,1.0,0,2884,0,,medium,,0,1,0
47,47,0,34.0,0.0,0,2506,0,young,,,0,1,0
49,49,1,100.0,5.0,0,9165,1,,medium,,1,0,0
50,50,0,96.0,4.0,0,1639,1,,,old,0,0,1
53,53,0,50.0,4.0,0,8911,1,,medium,,1,0,0
54,54,0,45.0,2.48,1,3519,1,,,old,0,1,0
55,55,1,42.0,5.0,1,1994,1,,,old,1,0,0
56,56,1,29.0,5.0,0,1522,1,,,old,0,0,1
57,57,1,20.0,5.0,0,4966,0,,,old,0,0,1
60,60,1,3.0,4.0,1,4029,1,,medium,,1,0,0
61,61,1,18.0,1.0,0,4629,0,,,old,1,0,0
63,63,1,96.0,3.0,1,1279,0,,,old,0,0,1
64,64,1,89.0,3.0,1,567,1,,,old,0,1,0
65,65,1,33.0,1.0,1,3628,1,,,old,0,1,0
66,66,0,31.0,0.0,0,9976,0,,,old,0,1,0
67,67,1,30.0,3.0,0,2632,0,,,old,1,0,0
68,68,0,35.0,5.0,1,1230,1,,,old,0,0,1
69,69,0,95.0,2.0,0,85,0,,medium,,0,1,0
70,70,0,53.0,5.0,0,5084,1,,medium,,0,1,0
72,72,0,95.0,1.0,1,3003,1,,,old,1,0,0
73,73,0,90.0,2.48,1,2593,0,,medium,,1,0,0
74,74,0,58.0,2.0,1,3953,0,,,old,0,0,1
75,75,0,33.0,4.0,1,6224,1,,medium,,1,0,0
76,76,0,13.0,5.0,0,8053,0,,,old,1,0,0
77,77,0,74.0,0.0,1,5697,1,,,old,1,0,0
78,78,0,64.0,2.0,0,3468,1,,medium,,1,0,0
79,79,0,65.0,4.0,0,6361,0,young,,,1,0,0
80,80,0,55.0,1.0,0,6532,1,,medium,,0,0,1
82,82,1,20.0,5.0,0,8357,0,,,old,0,1,0
84,84,1,29.0,1.0,0,8335,0,,,old,0,0,1
85,85,1,78.0,4.0,0,8632,0,,medium,,1,0,0
86,86,0,33.0,4.0,1,2025,1,,medium,,0,0,1
87,87,0,39.0,5.0,0,3213,0,,medium,,0,0,1
88,88,1,88.0,2.0,1,9372,0,,medium,,0,1,0
89,89,0,26.0,4.0,1,9127,1,,medium,,0,0,1
90,90,0,77.0,5.0,0,7205,1,,,old,0,1,0
91,91,0,15.0,5.0,1,123,1,,medium,,1,0,0
92,92,1,3.0,0.0,0,6824,1,,,old,1,0,0
93,93,1,56.0,0.0,1,7045,1,,medium,,0,0,1
94,94,1,48.0,2.0,0,6760,1,young,,,0,1,0
96,96,0,47.0,1.0,0,3086,0,young,,,0,0,1
97,97,0,71.0,4.0,1,4139,1,,medium,,1,0,0
101,101,1,96.0,2.48,0,7933,1,,medium,,1,0,0
102,102,0,79.0,4.0,1,5563,0,,,old,0,1,0
104,104,1,40.0,3.0,1,9401,0,,,old,0,1,0
106,106,0,48.0,1.0,0,1486,1,,medium,,0,1,0
107,107,0,78.0,4.0,1,2855,1,,medium,,0,1,0
108,108,0,67.0,1.0,0,2676,1,,medium,,0,1,0
110,110,0,13.0,4.0,0,7858,1,,,old,0,1,0
112,112,0,89.0,1.0,0,5555,0,,medium,,0,0,1
113,113,0,39.0,5.0,0,4056,0,,medium,,0,0,1
115,115,1,73.0,1.0,0,2453,0,young,,,1,0,0
116,116,0,100.0,0.0,0,5624,1,,medium,,0,1,0
117,117,0,14.0,3.0,1,2121,0,,,old,0,1,0
118,118,0,4.0,4.0,1,2473,1,,medium,,1,0,0
121,121,1,27.0,3.0,1,5953,0,,medium,,1,0,0
122,122,1,0.0,2.0,0,639,1,,medium,,1,0,0
123,123,1,96.0,4.0,0,9903,1,young,,,0,0,1
125,125,0,53.0,1.0,0,162,0,,,old,0,0,1
126,126,0,2.0,3.0,0,6112,1,,medium,,0,0,1
127,127,1,35.0,4.0,1,3139,1,,medium,,1,0,0
128,128,0,19.0,3.0,1,4709,0,,,old,0,0,1
133,133,1,14.0,1.0,0,5079,1,young,,,0,0,1
134,134,1,72.0,3.0,0,5808,1,young,,,0,0,1
136,136,0,79.0,0.0,1,5989,0,,,old,0,1,0
137,137,1,58.0,0.0,0,8066,0,,,old,1,0,0
138,138,1,100.0,2.48,0,2154,0,,,old,1,0,0
139,139,1,26.0,4.0,1,9388,1,,medium,,0,1,0
140,140,0,30.0,1.0,1,3260,1,,medium,,0,1,0
141,141,0,88.0,3.0,0,9580,0,,,old,0,0,1
143,143,0,27.0,5.0,1,3944,1,,medium,,0,1,0
147,147,0,65.0,4.0,1,1652,1,,medium,,0,0,1
149,149,1,0.0,1.0,0,830,0,,medium,,0,0,1
150,150,0,77.0,3.0,0,4520,1,young,,,0,1,0
154,154,0,48.0,3.0,1,4408,0,,,old,0,1,0
155,155,1,83.0,5.0,0,8163,1,young,,,1,0,0
158,158,1,29.0,2.48,0,2608,0,,,old,0,1,0
159,159,0,87.0,2.0,1,745,1,,medium,,1,0,0
160,160,1,100.0,3.0,0,5595,0,,,old,0,1,0
161,161,0,100.0,5.0,0,2294,1,,medium,,0,1,0
163,163,1,42.0,2.0,0,2595,0,,medium,,0,1,0
165,165,1,70.0,3.0,0,5902,1,,,old,0,1,0
